"gene_group","tissue_main","tissue_other","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"orthologs","Testis","Adipose","5.13199589946066e-02","1.67627240799230e-01","ns","ns"
"orthologs","Testis","Adrenal","6.79087082869499e-02","1.72329107502639e-01","ns","ns"
"orthologs","Testis","Brain","2.79598846680125e-01","2.54065237676094e-01","ns","ns"
"orthologs","Testis","Colon","2.64001449816894e-02","7.91497999863939e-02","*","ns"
"orthologs","Testis","Heart","1.56250795544510e-01","2.67893143280373e-01","ns","ns"
"orthologs","Testis","Liver","7.88714014945445e-02","1.19054892117319e-01","ns","ns"
"orthologs","Testis","Muscle","8.05743806016648e-02","1.54778789220907e-01","ns","ns"
"orthologs","Testis","Pituitary","2.30220723644633e-01","4.51896938390791e-01","ns","ns"
"orthologs","Testis","Skin","4.71678568994702e-03","9.91844926795400e-03","**","**"
"orthologs","Testis","Spleen","7.35792012454871e-02","1.72003784448007e-01","ns","ns"
"orthologs","Testis","Thyroid","1.06283505956408e-01","1.87750761959141e-01","ns","ns"
"orthologs","Testis","Lung","1.73328912306696e-01","2.04033585538877e-01","ns","ns"
"orthologs","Muscle","Adipose","8.62394560737206e-01","8.29504579448345e-01","ns","ns"
"orthologs","Muscle","Adrenal","8.18850473459946e-01","8.01604244650189e-01","ns","ns"
"orthologs","Muscle","Brain","4.53082777542671e-01","7.77156915524090e-01","ns","ns"
"orthologs","Muscle","Colon","5.36994267487868e-01","7.02397533636331e-01","ns","ns"
"orthologs","Muscle","Heart","5.51283747083330e-01","6.08522173297572e-01","ns","ns"
"orthologs","Muscle","Liver","7.16372263221294e-01","9.21820592500619e-01","ns","ns"
"orthologs","Muscle","Pituitary","2.81121257438125e-01","2.77245826993410e-01","ns","ns"
"orthologs","Muscle","Skin","1.77190986453544e-01","1.21459531828998e-01","ns","ns"
"orthologs","Muscle","Spleen","7.74287781915245e-01","8.31559485763127e-01","ns","ns"
"orthologs","Muscle","Thyroid","4.96787025779063e-01","7.18831825602170e-01","ns","ns"
