"group","tissue_main","tissue_other","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"outparalog","Testis","Adipose","1.03966329930367e-194","1.43494712770424e-156","****","****"
"outparalog","Testis","Adrenal","2.34810038617362e-207","1.72747059331217e-166","****","****"
"outparalog","Testis","Brain"," 1.06635740065244e-96"," 1.38731401479752e-74","****","****"
"outparalog","Testis","Colon","6.01948382414756e-197","4.83952737324558e-160","****","****"
"outparalog","Testis","Heart","1.27666503966506e-215","1.64089431329933e-178","****","****"
"outparalog","Testis","Liver","1.91220338889779e-191","3.00958236523249e-152","****","****"
"outparalog","Testis","Muscle","1.72997287520413e-241","9.27246994614711e-210","****","****"
"outparalog","Testis","Pituitary"," 6.01174367677866e-83"," 4.26004346229367e-55","****","****"
"outparalog","Testis","Skin","1.29702159041547e-191","3.83401183023685e-151","****","****"
"outparalog","Testis","Spleen","2.45737377981402e-152","3.88797278907260e-117","****","****"
"outparalog","Testis","Thyroid","2.12480430567347e-197","5.76645579575072e-157","****","****"
"outparalog","Testis","Lung","4.33209908268328e-158","1.46204424501105e-121","****","****"
"outparalog","Muscle","Adipose"," 1.66781033237138e-15"," 1.26737660021824e-17","****","****"
"outparalog","Muscle","Adrenal"," 6.33293125670754e-05"," 2.82914686578515e-09","****","****"
"outparalog","Muscle","Brain","2.54175985715013e-108"," 5.86398227830769e-80","****","****"
"outparalog","Muscle","Colon"," 7.94162645716403e-10"," 1.70306011148755e-11","****","****"
"outparalog","Muscle","Heart"," 4.60155324948893e-05"," 1.29143218897302e-05","****","****"
"outparalog","Muscle","Liver"," 9.53048055084144e-14"," 3.26246303170268e-14","****","****"
"outparalog","Muscle","Pituitary","1.42636738821758e-130","1.86147352124134e-124","****","****"
"outparalog","Muscle","Skin"," 1.58297478405532e-12"," 3.47589947958299e-14","****","****"
"outparalog","Muscle","Spleen"," 1.70544900051723e-47"," 8.28186594053308e-41","****","****"
"outparalog","Muscle","Thyroid"," 1.59074408351355e-19"," 9.74898749893486e-21","****","****"
"outparalog","Muscle","Lung"," 5.49013594761355e-43"," 4.94137857605455e-42","****","****"
"outparalog","Muscle","Testis","1.72997287520413e-241","9.27246994614711e-210","****","****"
"outparalog","Brain","Adipose"," 2.33934020086866e-56"," 3.19588551614576e-33","****","****"
"outparalog","Brain","Adrenal"," 5.63848162987349e-78"," 9.47336173496277e-42","****","****"
"outparalog","Brain","Colon"," 6.94465089182843e-62"," 5.64649629939939e-37","****","****"
