"gene_group","tissue_main","tissue_other","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"orthologs","Testis","Adipose"," 7.02995776175703e-02"," 6.23093506600585e-02","ns","ns"
"orthologs","Testis","Adrenal"," 9.36860641414711e-03"," 9.09939915457896e-03","**","**"
"orthologs","Testis","Brain"," 1.95644795765986e-01"," 1.15042908378416e-01","ns","ns"
"orthologs","Testis","Colon"," 5.47595478476679e-02"," 3.74224384066327e-02","ns","*"
"orthologs","Testis","Heart"," 1.97085692757451e-01"," 1.45945484839474e-01","ns","ns"
"orthologs","Testis","Liver"," 2.47624873543078e-02"," 2.19544322440857e-02","*","*"
"orthologs","Testis","Muscle"," 2.72938248076212e-01"," 3.67423638700280e-01","ns","ns"
"orthologs","Testis","Pituitary"," 1.86868640874492e-01"," 1.53135894235179e-01","ns","ns"
"orthologs","Testis","Skin"," 4.65934959822045e-02"," 2.41483124557560e-02","*","*"
"orthologs","Testis","Spleen"," 1.97542322961431e-01"," 1.81095728260099e-01","ns","ns"
"orthologs","Testis","Thyroid"," 3.90808194978644e-02"," 3.56412504202556e-02","*","*"
"orthologs","Testis","Lung"," 9.14525151050926e-02"," 6.75210429177335e-02","ns","ns"
"orthologs","Muscle","Adipose"," 3.70393835875271e-01"," 1.08890946256025e-01","ns","ns"
"orthologs","Muscle","Adrenal"," 2.77618670880428e-02"," 3.84170876402675e-03","*","**"
"orthologs","Muscle","Brain"," 7.38339324082653e-01"," 2.86357075870640e-01","ns","ns"
"orthologs","Muscle","Colon"," 2.44607277631754e-01"," 5.64054977915634e-02","ns","ns"
"orthologs","Muscle","Heart"," 8.75497148124159e-01"," 3.80995479029256e-01","ns","ns"
"orthologs","Muscle","Liver"," 1.06672416871341e-01"," 2.40220121115883e-02","ns","*"
"orthologs","Muscle","Pituitary"," 9.88206801724202e-01"," 4.04600173679107e-01","ns","ns"
"orthologs","Muscle","Skin"," 2.95986018559509e-01"," 2.77914022911083e-02","ns","*"
"orthologs","Muscle","Spleen"," 7.51098000633922e-01"," 4.95666020374239e-01","ns","ns"
"orthologs","Muscle","Thyroid"," 2.08893367254223e-01"," 4.42921848481230e-02","ns","*"
"orthologs","Muscle","Lung"," 5.45515870574815e-01"," 1.25698639260207e-01","ns","ns"
"orthologs","Muscle","Testis"," 2.72938248076212e-01"," 3.67423638700280e-01","ns","ns"
"orthologs","Brain","Adipose"," 5.42899196995191e-01"," 8.57572058354540e-01","ns","ns"
"orthologs","Brain","Adrenal"," 6.50676112597393e-02"," 1.83001017436277e-01","ns","ns"
"orthologs","Brain","Colon"," 4.58345310400624e-01"," 5.59277405628996e-01","ns","ns"
"orthologs","Brain","Heart"," 7.74300890249483e-01"," 7.09264042515820e-01","ns","ns"
"orthologs","Brain","Liver"," 2.07705834965317e-01"," 3.73155842542957e-01","ns","ns"
"orthologs","Brain","Muscle"," 7.38339324082653e-01"," 2.86357075870640e-01","ns","ns"
"orthologs","Brain","Pituitary"," 8.39225260396474e-01"," 6.89598911554938e-01","ns","ns"
"orthologs","Brain","Skin"," 4.34421738957435e-01"," 4.03881192692911e-01","ns","ns"
"orthologs","Brain","Spleen"," 7.40984686015387e-01"," 5.94094205366273e-01","ns","ns"
"orthologs","Brain","Thyroid"," 3.34358824695646e-01"," 5.80852335263868e-01","ns","ns"
"orthologs","Brain","Lung"," 7.16635794619219e-01"," 8.90234644635167e-01","ns","ns"
