"group","tissue_main","tissue_other","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"outparalog","Testis","Adipose"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Testis","Adrenal"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Testis","Brain","8.64812911945018e-245","5.78320000890233e-162","****","****"
"outparalog","Testis","Colon"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Testis","Heart"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Testis","Liver"," 0.00000000000000e+00","5.95360759724978e-302","****","****"
"outparalog","Testis","Muscle"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Testis","Pituitary","1.41319281260768e-242","1.44179018535193e-150","****","****"
"outparalog","Testis","Skin"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Testis","Spleen"," 0.00000000000000e+00","2.15479621903521e-311","****","****"
"outparalog","Testis","Thyroid"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Testis","Lung"," 0.00000000000000e+00","3.17788068503289e-306","****","****"
"outparalog","Muscle","Adipose"," 6.11551603632597e-63"," 2.83620230804964e-65","****","****"
"outparalog","Muscle","Adrenal"," 4.40788812800917e-30"," 2.03891982675055e-35","****","****"
"outparalog","Muscle","Brain"," 0.00000000000000e+00","2.47435134776250e-289","****","****"
"outparalog","Muscle","Colon"," 2.10681220136273e-40"," 5.71755102185198e-33","****","****"
"outparalog","Muscle","Heart"," 1.34089380882776e-09"," 4.78112758831563e-08","****","****"
"outparalog","Muscle","Liver","1.66591915127984e-147","1.39035450610021e-128","****","****"
"outparalog","Muscle","Pituitary"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Muscle","Skin"," 1.11421061613140e-40"," 2.06149164012238e-40","****","****"
"outparalog","Muscle","Spleen","2.86071631447599e-110"," 2.17874719793629e-99","****","****"
"outparalog","Muscle","Thyroid"," 8.62274799984821e-58"," 1.33411592723131e-55","****","****"
"outparalog","Muscle","Lung","2.69028125043794e-158","4.51981082885777e-137","****","****"
"outparalog","Muscle","Testis"," 0.00000000000000e+00"," 0.00000000000000e+00","****","****"
"outparalog","Brain","Adipose","4.33033628899443e-156","1.50635700307611e-115","****","****"
"outparalog","Brain","Adrenal","8.79958266984693e-215","7.41615153330207e-154","****","****"
"outparalog","Brain","Colon","1.93081417892356e-210","1.48877175738708e-169","****","****"
"outparalog","Brain","Heart","5.35568970748681e-274","1.48145522522607e-227","****","****"
"outparalog","Brain","Liver"," 3.70285699954977e-78"," 1.47368203982668e-51","****","****"
"outparalog","Brain","Muscle"," 0.00000000000000e+00","2.47435134776250e-289","****","****"
"outparalog","Brain","Pituitary"," 4.55213461602068e-01"," 2.12693953768146e-02","ns","*"
"outparalog","Brain","Skin","2.88816664522948e-195","3.62124304628726e-136","****","****"
"outparalog","Brain","Spleen"," 8.00007846774834e-92"," 3.73854791995528e-60","****","****"
"outparalog","Brain","Thyroid","2.60700874770768e-191","1.06390289254604e-141","****","****"
"outparalog","Brain","Lung"," 2.12800075311080e-71"," 2.41179055428561e-53","****","****"
"outparalog","Brain","Testis","8.64812911945018e-245","5.78320000890233e-162","****","****"
"inparalog non-tandem","Testis","Adipose","1.91326690882774e-171","8.68506198094603e-149","****","****"
"inparalog non-tandem","Testis","Adrenal","3.61072572372770e-178","3.82468180247237e-160","****","****"
"inparalog non-tandem","Testis","Brain"," 7.04223953070120e-99"," 1.61213073073178e-72","****","****"
"inparalog non-tandem","Testis","Colon","6.88712215937025e-179","7.45199332686371e-160","****","****"
"inparalog non-tandem","Testis","Heart","2.70237614901150e-177","1.12926354893417e-161","****","****"
"inparalog non-tandem","Testis","Liver","1.63424816235710e-146","5.72573832540867e-120","****","****"
"inparalog non-tandem","Testis","Muscle","1.51868225694276e-195","3.27207147143776e-191","****","****"
"inparalog non-tandem","Testis","Pituitary"," 3.05672078271898e-96"," 1.04376020872208e-67","****","****"
"inparalog non-tandem","Testis","Skin","5.87062808500621e-172","9.30362255106059e-154","****","****"
"inparalog non-tandem","Testis","Spleen","2.27008623203762e-148","6.84408368236003e-124","****","****"
"inparalog non-tandem","Testis","Thyroid","5.82402684632810e-179","2.74541338637964e-157","****","****"
"inparalog non-tandem","Testis","Lung","1.39566981736225e-156","1.72528260803824e-130","****","****"
"inparalog non-tandem","Muscle","Adipose"," 9.99573913543270e-16"," 1.67100089853862e-18","****","****"
"inparalog non-tandem","Muscle","Adrenal"," 3.35186391389002e-08"," 9.33090002077378e-10","****","****"
"inparalog non-tandem","Muscle","Brain"," 1.75485281611225e-85"," 7.58884236234169e-76","****","****"
"inparalog non-tandem","Muscle","Colon"," 6.79447742210826e-10"," 3.70704910070121e-10","****","****"
"inparalog non-tandem","Muscle","Heart"," 8.56137110157636e-07"," 3.05030616384129e-07","****","****"
"inparalog non-tandem","Muscle","Liver"," 1.94227276246311e-35"," 5.56847441203905e-35","****","****"
"inparalog non-tandem","Muscle","Pituitary"," 3.62649554037845e-91"," 8.51193180373549e-98","****","****"
"inparalog non-tandem","Muscle","Skin"," 1.80937062839180e-08"," 3.34909365449158e-10","****","****"
"inparalog non-tandem","Muscle","Spleen"," 4.75421400280251e-29"," 2.68117736162403e-31","****","****"
"inparalog non-tandem","Muscle","Thyroid"," 5.04438005574145e-12"," 5.85194754888581e-14","****","****"
"inparalog non-tandem","Muscle","Lung"," 1.10521834370094e-30"," 1.01659833911783e-31","****","****"
"inparalog non-tandem","Muscle","Testis","1.51868225694276e-195","3.27207147143776e-191","****","****"
"inparalog non-tandem","Brain","Adipose"," 6.44242468347607e-49"," 3.07403673089051e-34","****","****"
"inparalog non-tandem","Brain","Adrenal"," 1.40726804739319e-60"," 1.33532538935535e-44","****","****"
"inparalog non-tandem","Brain","Colon"," 3.95349108689527e-58"," 2.58717852173914e-44","****","****"
"inparalog non-tandem","Brain","Heart"," 6.57134829259690e-60"," 3.30230229588469e-46","****","****"
"inparalog non-tandem","Brain","Liver"," 2.48849212720938e-23"," 1.29544311078945e-14","****","****"
"inparalog non-tandem","Brain","Muscle"," 1.75485281611225e-85"," 7.58884236234169e-76","****","****"
"inparalog non-tandem","Brain","Pituitary"," 9.05316491704035e-01"," 1.07942960298061e-01","ns","ns"
"inparalog non-tandem","Brain","Skin"," 2.67361621314134e-57"," 3.05556357926925e-39","****","****"
"inparalog non-tandem","Brain","Spleen"," 2.05504056592771e-26"," 6.11369248150090e-17","****","****"
"inparalog non-tandem","Brain","Thyroid"," 1.01372487947192e-57"," 8.10076636857630e-42","****","****"
"inparalog non-tandem","Brain","Lung"," 3.51668242734230e-29"," 2.69541741067813e-20","****","****"
"inparalog non-tandem","Brain","Testis"," 7.04223953070120e-99"," 1.61213073073178e-72","****","****"
"inparalog tandem","Testis","Adipose"," 2.43301960603567e-07"," 9.45697906808558e-07","****","****"
"inparalog tandem","Testis","Adrenal"," 2.20932175592162e-06"," 3.55782261611101e-06","****","****"
"inparalog tandem","Testis","Brain"," 1.98466818956704e-03"," 8.13929541030512e-02","**","ns"
"inparalog tandem","Testis","Colon"," 3.07910356929022e-09"," 3.34082407416738e-09","****","****"
"inparalog tandem","Testis","Heart"," 2.08843201930258e-10"," 1.36039628998668e-11","****","****"
"inparalog tandem","Testis","Liver"," 9.80523970930560e-08"," 5.33330237225806e-07","****","****"
"inparalog tandem","Testis","Muscle"," 1.94314556296774e-09"," 1.32225557365665e-08","****","****"
"inparalog tandem","Testis","Pituitary"," 7.90525355318564e-05"," 2.74746990561781e-03","****","**"
"inparalog tandem","Testis","Skin"," 5.24289245368572e-09"," 4.42725931632991e-09","****","****"
"inparalog tandem","Testis","Spleen"," 1.27050701074119e-07"," 4.91664995202742e-07","****","****"
"inparalog tandem","Testis","Thyroid"," 5.02110813549824e-08"," 1.10352619581224e-06","****","****"
"inparalog tandem","Testis","Lung"," 3.32162645403802e-08"," 2.60942763255190e-07","****","****"
"inparalog tandem","Muscle","Adipose"," 9.71732566068914e-01"," 1.00754097110166e-01","ns","ns"
"inparalog tandem","Muscle","Adrenal"," 9.26422550166080e-01"," 1.23136151114438e-01","ns","ns"
"inparalog tandem","Muscle","Brain"," 6.39658194587597e-09"," 2.27013802934805e-11","****","****"
"inparalog tandem","Muscle","Colon"," 7.02297945898415e-02"," 8.34920439329021e-01","ns","ns"
"inparalog tandem","Muscle","Heart"," 1.40577027426553e-02"," 3.40691013626562e-02","*","*"
"inparalog tandem","Muscle","Liver"," 6.54315227828032e-01"," 4.11689257565212e-01","ns","ns"
"inparalog tandem","Muscle","Pituitary"," 1.23076718310502e-04"," 1.05864555197151e-06","***","****"
"inparalog tandem","Muscle","Skin"," 1.84081497704457e-01"," 7.13495646598558e-01","ns","ns"
"inparalog tandem","Muscle","Spleen"," 7.90832954010869e-01"," 2.38191395832269e-01","ns","ns"
